"","term","estimate","std.error","p.value","conf.low","conf.high"
"1","(Intercept)",0.0156858597065471,0.0476039054992081,0,0.0142777896342655,0.0172072918630037
"2","pha_agencyKCHA",2.16899657793651,0.0191133227127508,0,2.08905008364841,2.25158414296088
"3","pha_agencySHA",1.70778987854106,0.0205326288820832,8.90014896043876e-150,1.64023736916301,1.7777160645869
"4","age_2017",1.04369096067447,0.000250727325677719,0,1.04317908720485,1.04420486909628
"5","gender_meMale",1.17147529641924,0.00915656854564966,6.18821020639931e-67,1.15063799938829,1.19268829718589
"6","gender_meMultiple",1.33974583518551,0.081549375817748,0.000335097480215642,1.13845955314522,1.56753663256718
"7","race_eth_meAsian",1.01690566616568,0.0475211347052361,0.724255746876883,0.927099697889292,1.11696170484232
"8","race_eth_meAsian_PI",0.365187162935021,0.0505146113149285,1.7708403804049e-88,0.330948592320814,0.40343033816666
"9","race_eth_meBlack",0.816782856258576,0.0470453736036135,1.69380226000204e-05,0.745358083924206,0.896327915268333
"10","race_eth_meLatino",0.638152455289508,0.0507174150128606,8.25763988872986e-19,0.578089297871347,0.705258355330595
"11","race_eth_meMultiple",0.802083823860779,0.0494160636032974,8.08332930378405e-06,0.728489480350916,0.884221181399943
"12","race_eth_meNH/PI",1.52946964560515,0.0523137621285228,4.56497261542843e-16,1.38112961673703,1.69552779547165
"13","race_eth_meOther",0.413842934576092,0.0633412421120016,4.23290845566094e-44,0.365507970892396,0.468541040193188
"14","race_eth_meUnknown",0.608400332348901,0.0493198945366884,7.09054756375659e-24,0.552679773637743,0.67057539092507
"15","race_eth_meWhite",0.360264825657633,0.0456929304337318,1.41319380011065e-110,0.329647423274157,0.394320792768166
