 ,KCHA,SHA,Combined PHA,Non-PHA
Characteristics,"N=34,514 (5.9%)","N=27,044  (4.6%)","N=60,919  (10.4%)","N=523,814 (89.5%)"
<5,6.6%,6.1%,6.4%,5.5%
5-9,12.0%,10.2%,11.2%,7.0%
10-17,19.5%,14.9%,17.5%,9.8%
18-29,12.5%,9.9%,11.3%,8.3%
30-49,21.0%,19.3%,20.3%,11.2%
50-64,15.3%,19.9%,17.4%,9.4%
65-74,6.8%,11.5%,8.9%,28.0%
75+,6.1%,7.9%,7.0%,20.6%
Median,39.1 years,29.0 years,34.0 years,62.0 years
Mean,33.3 years,38.7 years,35.7 years,50.0 years
American Indian or Alaska Native,0.8%,1.4%,1.0%,0.8%
Asian,5.5%,11.7%,8.3%,6.9%
Asian Pacific Islander,0.1%,0.2%,0.2%,3.5%
Black/African American,36.9%,44.9%,40.2%,7.9%
Latino,3.8%,2.8%,3.4%,6.5%
Multiple,15.5%,10.2%,13.2%,8.0%
Native Hawaiian or Pacific Islander,2.3%,1.9%,2.1%,2.4%
Other,0.0%,0.0%,0.0%,0.8%
White,30.1%,22.3%,26.8%,56.1%
Unknown,5.0%,4.5%,4.8%,6.9%
Female,58.6%,53.5%,56.3%,52.4%
Male,40.6%,45.7%,42.9%,47.2%
Multiple,0.8%,0.8%,0.8%,0.4%
